,MüşteriID,Güncelik,Alışveriş Sıklığı,Toplam Harcama,R_Skoru,F_Skoru,M_Skoru,RFM_Skoru,Segment
0,12347.0,96,5,2540.29,3,4,4,344,Others
1,12348.0,221,1,367.0,1,1,2,112,Others
2,12350.0,312,1,334.40000000000003,1,1,2,112,Others
3,12352.0,275,3,1296.38,1,3,4,134,Others
4,12355.0,97,1,459.40000000000003,3,1,2,312,Others
5,12356.0,129,1,481.46000000000004,2,1,3,213,Others
6,12357.0,183,1,6207.67,2,1,4,214,Others
7,12358.0,4,2,1168.06,4,2,4,424,Others
8,12359.0,10,3,3495.73,4,3,4,434,Others
9,12362.0,31,5,2135.79,4,4,4,444,Loyal Champion
10,12363.0,37,1,299.1,4,1,2,412,Others
11,12364.0,302,1,310.32,1,1,2,112,Others
12,12367.0,213,1,168.9,2,1,1,211,Others
13,12370.0,69,1,938.39,3,1,3,313,Others
14,12371.0,31,1,1527.96,4,1,4,414,Others
15,12372.0,36,1,515.7,4,1,3,413,Others
16,12373.0,343,1,364.6,1,1,2,112,Others
17,12375.0,305,1,230.3,1,1,1,111,Others
18,12378.0,306,1,4008.62,1,1,4,114,Others
19,12380.0,158,1,607.5500000000001,2,1,3,213,Others
20,12381.0,1,5,1845.31,4,4,4,444,Loyal Champion
21,12383.0,10,2,750.61,4,2,3,423,Others
22,12384.0,30,2,585.27,4,2,3,423,Others
23,12386.0,193,2,401.9,2,2,2,222,Others
24,12388.0,99,2,334.95000000000005,3,2,2,322,Others
25,12393.0,40,2,884.1,4,2,3,423,Others
26,12394.0,154,2,1272.48,2,2,4,224,Others
27,12395.0,6,7,1762.63,4,4,4,444,Loyal Champion
28,12397.0,244,1,1195.09,1,1,4,114,Others
29,12399.0,3,3,820.6,4,3,3,433,Others
30,12401.0,100,1,84.3,3,1,1,311,Others
31,12406.0,96,1,1621.25,3,1,4,314,Others
32,12407.0,187,1,719.06,2,1,3,213,Others
33,12408.0,153,2,1396.78,2,2,4,224,Others
34,12409.0,66,1,6207.08,3,1,4,314,Others
35,12410.0,253,2,693.33,1,2,3,123,Others
36,12413.0,193,2,673.45,2,2,3,223,Others
37,12414.0,189,2,319.61,2,2,2,222,Others
38,12415.0,71,10,44582.79,3,4,4,344,Others
39,12417.0,182,4,1572.48,2,4,4,244,Others
40,12420.0,154,1,600.39,2,1,3,213,Others
41,12422.0,216,1,147.7,2,1,1,211,Others
42,12423.0,90,3,548.9200000000001,3,3,3,333,Others
43,12427.0,62,2,586.08,3,2,3,323,Others
44,12428.0,33,6,6580.52,4,4,4,444,Loyal Champion
45,12429.0,455,1,1281.5,1,1,4,114,Others
46,12431.0,3,7,3055.05,4,4,4,444,Loyal Champion
47,12433.0,90,5,9033.92,3,4,4,344,Others
48,12436.0,336,1,509.01,1,1,3,113,Others
49,12437.0,10,7,2040.81,4,4,4,444,Loyal Champion
50,12441.0,486,1,173.55,1,1,1,111,Others
51,12442.0,182,1,172.06,2,1,1,211,Others
52,12444.0,1,2,1636.08,4,2,4,424,Others
53,12447.0,68,1,476.49,3,1,3,313,Others
54,12449.0,93,3,2724.58,3,3,4,334,Others
55,12450.0,187,1,96.0,2,1,1,211,Others
56,12451.0,215,2,4927.87,2,2,4,224,Others
57,12455.0,187,3,477.46000000000004,2,3,3,233,Others
58,12457.0,245,1,196.35,1,1,1,111,Others
59,12461.0,126,2,826.88,2,2,3,223,Others
60,12462.0,100,1,762.11,3,1,3,313,Others
61,12463.0,7,1,350.57,4,1,2,412,Others
62,12464.0,284,1,213.89999999999998,1,1,1,111,Others
63,12468.0,219,1,508.95000000000005,2,1,3,213,Others
64,12471.0,152,12,10309.97,2,4,4,244,Others
65,12472.0,153,2,1899.38,2,2,4,224,Others
66,12473.0,61,3,1726.51,3,3,4,334,Others
67,12474.0,4,3,1179.64,4,3,4,434,Others
68,12476.0,220,1,311.2,1,1,2,112,Others
69,12477.0,39,2,3415.19,4,2,4,424,Others
70,12478.0,182,1,680.99,2,1,3,213,Others
71,12480.0,30,2,1952.93,4,2,4,424,Others
72,12481.0,163,3,2070.23,2,3,4,234,Others
73,12483.0,36,4,1185.46,4,4,4,444,Loyal Champion
74,12484.0,153,3,2017.24,2,3,4,234,Others
75,12489.0,163,1,334.93,2,1,2,212,Others
76,12490.0,97,4,2463.06,3,4,4,344,Others
77,12491.0,334,1,460.40000000000003,1,1,2,112,Others
78,12492.0,154,1,136.82,2,1,1,211,Others
79,12494.0,338,2,210.82,1,2,1,121,Others
80,12500.0,71,3,745.03,3,3,3,333,Others
81,12501.0,163,1,2169.39,2,1,4,214,Others
82,12502.0,189,4,3021.07,2,4,4,244,Others
83,12504.0,91,1,449.4,3,1,2,312,Others
84,12507.0,157,1,46.75,2,1,1,211,Others
85,12508.0,61,1,275.19,3,1,2,312,Others
86,12512.0,245,2,138.03,1,2,1,121,Others
87,12516.0,5,1,583.2,4,1,3,413,Others
88,12517.0,30,4,2085.64,4,4,4,444,Loyal Champion
89,12518.0,1,3,1207.16,4,3,4,434,Others
90,12519.0,154,1,340.84000000000003,2,1,2,212,Others
91,12520.0,38,1,987.42,4,1,3,413,Others
92,12523.0,10,3,398.7,4,3,2,432,Others
93,12524.0,71,4,2962.6,3,4,4,344,Others
94,12526.0,90,2,797.38,3,2,3,323,Others
95,12528.0,130,2,552.64,2,2,3,223,Others
96,12530.0,31,3,1244.68,4,3,4,434,Others
97,12532.0,91,1,349.83000000000004,3,1,2,312,Others
98,12534.0,337,1,1089.18,1,1,4,114,Others
99,12535.0,93,2,716.35,3,2,3,323,Others
100,12536.0,31,1,4279.71,4,1,4,414,Others
101,12538.0,61,1,363.95,3,1,2,312,Others
102,12539.0,71,1,1715.85,3,1,4,314,Others
103,12540.0,40,8,5047.38,4,4,4,444,Loyal Champion
104,12541.0,61,2,757.44,3,2,3,323,Others
105,12544.0,275,1,372.7,1,1,2,112,Others
106,12547.0,252,1,159.4,1,1,1,111,Others
107,12552.0,334,1,120.0,1,1,1,111,Others
108,12553.0,1,4,1356.57,4,4,4,444,Loyal Champion
109,12556.0,34,1,312.9,4,1,2,412,Others
110,12557.0,40,3,8183.46,4,3,4,434,Others
111,12558.0,302,1,269.96,1,1,2,112,Others
112,12559.0,312,1,75.60000000000001,1,1,1,111,Others
113,12560.0,243,1,697.7,1,1,3,113,Others
114,12561.0,70,1,238.85,3,1,1,311,Others
115,12562.0,217,2,1304.3700000000001,2,2,4,224,Others
116,12567.0,127,6,4643.61,2,4,4,244,Others
117,12569.0,1,18,2534.9500000000003,4,4,4,444,Loyal Champion
118,12571.0,64,1,248.35,3,1,2,312,Others
119,12572.0,333,1,487.68,1,1,3,113,Others
120,12576.0,131,4,1076.63,2,4,4,244,Others
121,12577.0,244,2,461.91,1,2,2,122,Others
122,12580.0,160,1,415.7,2,1,2,212,Others
123,12583.0,1,9,5093.27,4,4,4,444,Loyal Champion
124,12584.0,158,4,835.94,2,4,3,243,Others
125,12587.0,302,1,144.0,1,1,1,111,Others
126,12589.0,30,1,515.18,4,1,3,413,Others
127,12590.0,6,2,9864.26,4,2,4,424,Others
128,12592.0,67,2,437.6,3,2,2,322,Others
129,12593.0,220,2,321.8,1,2,2,122,Others
130,12594.0,64,3,850.83,3,3,3,333,Others
131,12596.0,37,1,269.95,4,1,2,412,Others
132,12597.0,96,1,912.66,3,1,3,313,Others
133,12598.0,30,4,1200.32,4,4,4,444,Loyal Champion
134,12599.0,34,4,636.3,4,4,3,443,Others
135,12600.0,30,3,884.02,4,3,3,433,Others
136,12601.0,40,3,325.46000000000004,4,3,2,432,Others
137,12602.0,1,1,153.12,4,1,1,411,Others
138,12607.0,62,1,1579.51,3,1,4,314,Others
139,12609.0,188,1,512.8,2,1,3,213,Others
140,12610.0,217,1,946.75,2,1,3,213,Others
141,12614.0,161,1,315.6,2,1,2,212,Others
142,12615.0,152,2,1079.8,2,2,4,224,Others
143,12616.0,216,1,457.7,2,1,2,212,Others
144,12617.0,61,1,355.53000000000003,3,1,2,312,Others
145,12619.0,183,2,871.84,2,2,3,223,Others
146,12621.0,6,5,3424.84,4,4,4,444,Loyal Champion
147,12623.0,130,1,305.1,2,1,2,212,Others
148,12625.0,6,1,967.2,4,1,3,413,Others
149,12626.0,184,2,2440.39,2,2,4,224,Others
150,12627.0,184,3,2441.14,2,3,4,234,Others
151,12628.0,183,3,786.46,2,3,3,233,Others
152,12633.0,1,2,434.43,4,2,2,422,Others
153,12635.0,32,2,1689.18,4,2,4,424,Others
154,12637.0,93,4,3630.15,3,4,4,344,Others
155,12638.0,183,1,671.69,2,1,3,213,Others
156,12643.0,40,5,3094.14,4,4,4,444,Loyal Champion
157,12644.0,306,1,477.90999999999997,1,1,3,113,Others
158,12645.0,183,2,893.9200000000001,2,2,3,223,Others
159,12646.0,213,1,615.28,2,1,3,213,Others
160,12647.0,32,7,2260.07,4,4,4,444,Loyal Champion
161,12648.0,126,1,318.05,2,1,2,212,Others
162,12649.0,36,1,375.0,4,1,2,412,Others
163,12650.0,182,1,314.44,2,1,2,212,Others
164,12651.0,101,1,114.0,3,1,1,311,Others
165,12652.0,10,1,919.98,4,1,3,413,Others
166,12654.0,303,1,171.23000000000002,1,1,1,111,Others
167,12659.0,61,1,91.68,3,1,1,311,Others
168,12662.0,90,5,1618.21,3,4,4,344,Others
169,12664.0,1,4,2294.8,4,4,4,444,Loyal Champion
170,12667.0,1,1,620.13,4,1,3,413,Others
171,12669.0,4,2,1607.73,4,2,4,424,Others
172,12670.0,61,2,1273.54,3,3,4,334,Others
173,12673.0,243,1,389.62,1,1,2,112,Others
174,12674.0,93,2,993.8000000000001,3,3,3,333,Others
175,12676.0,125,3,800.15,3,3,3,333,Others
176,12678.0,219,2,2073.52,2,3,4,234,Others
177,12679.0,1,2,906.38,4,3,3,433,Others
178,12680.0,32,2,361.83,4,3,2,432,Others
179,12681.0,34,7,5368.29,4,4,4,444,Loyal Champion
180,12682.0,3,16,7288.08,4,4,4,444,Loyal Champion
181,12683.0,6,10,4300.7,4,4,4,444,Loyal Champion
182,12684.0,67,3,916.26,3,3,3,333,Others
183,12685.0,30,3,2019.54,4,3,4,434,Others
184,12686.0,639,1,89.14,1,1,1,111,Others
185,12689.0,247,1,511.03000000000003,1,1,3,113,Others
186,12691.0,1,2,479.5,4,3,3,433,Others
187,12693.0,6,2,454.01,4,3,2,432,Others
188,12694.0,95,1,439.5,3,1,2,312,Others
189,12695.0,245,2,248.2,1,3,2,132,Others
190,12697.0,30,1,223.68,4,1,1,411,Others
191,12700.0,128,4,4939.99,2,4,4,244,Others
192,12701.0,37,1,337.08000000000004,4,1,2,412,Others
193,12704.0,244,3,1120.85,1,3,4,134,Others
194,12705.0,129,2,2319.67,2,3,4,234,Others
195,12708.0,61,4,792.87,3,4,3,343,Others
196,12709.0,1,6,4051.34,4,4,4,444,Loyal Champion
197,12710.0,246,2,430.06,1,3,2,132,Others
198,12712.0,10,8,2680.03,4,4,4,444,Loyal Champion
199,12713.0,90,1,848.55,3,1,3,313,Others
200,12716.0,182,1,375.59000000000003,2,1,2,212,Others
201,12717.0,34,2,1030.98,4,3,3,433,Others
202,12719.0,215,2,644.95,2,3,3,233,Others
203,12720.0,4,13,3029.32,4,4,4,444,Loyal Champion
204,12721.0,95,4,2026.6299999999999,3,4,4,344,Others
205,12722.0,4,1,302.92,4,1,2,412,Others
206,12723.0,182,3,376.69,2,3,2,232,Others
207,12724.0,40,2,363.14,4,3,2,432,Others
208,12725.0,639,1,427.8,1,1,2,112,Others
209,12726.0,30,3,1363.9,4,3,4,434,Others
210,12727.0,216,4,1903.54,2,4,4,244,Others
211,12728.0,40,1,252.54000000000002,4,1,2,412,Others
212,12731.0,36,3,2705.2,4,3,4,434,Others
213,12735.0,193,1,319.77,2,1,2,212,Others
214,12736.0,40,1,234.0,4,1,1,411,Others
215,12738.0,666,1,155.35,1,1,1,111,Others
216,12739.0,335,1,975.54,1,1,3,113,Others
217,12740.0,154,1,427.6,2,1,2,212,Others
218,12744.0,221,3,8209.58,1,3,4,134,Others
219,12747.0,152,5,2226.18,2,4,4,244,Others
220,12748.0,5,106,14154.13,4,4,4,444,Loyal Champion
221,12749.0,67,4,3518.29,3,4,4,344,Others
222,12750.0,278,1,275.88,1,1,2,112,Others
223,12753.0,100,4,12940.51,3,4,4,344,Others
224,12754.0,161,2,61.62,2,3,1,231,Others
225,12755.0,252,2,3811.9500000000003,1,3,4,134,Others
226,12757.0,5,6,3439.82,4,4,4,444,Loyal Champion
227,12758.0,130,1,1570.19,2,1,4,214,Others
228,12759.0,99,1,444.8,3,1,2,312,Others
229,12762.0,302,1,1436.93,1,1,4,114,Others
230,12763.0,578,1,320.08,1,1,2,112,Others
231,12766.0,101,3,2554.2000000000003,3,3,4,334,Others
232,12772.0,31,1,892.47,4,1,3,413,Others
233,12775.0,280,2,634.25,1,3,3,133,Others
234,12778.0,96,2,255.93,3,3,2,332,Others
235,12779.0,221,5,2298.15,1,4,4,144,Others
236,12781.0,154,1,277.48,2,1,2,212,Others
237,12782.0,213,1,252.25,2,1,2,212,Others
238,12783.0,152,2,622.84,2,3,3,233,Others
239,12785.0,425,1,311.95,1,1,2,112,Others
240,12787.0,93,1,186.56,3,1,1,311,Others
241,12789.0,215,1,91.85,2,1,1,211,Others
242,12791.0,698,1,192.60000000000002,1,1,1,111,Others
243,12793.0,101,2,545.48,3,3,3,333,Others
244,12794.0,305,1,317.0,1,1,2,112,Others
245,12797.0,455,1,254.03,1,1,2,112,Others
246,12802.0,188,1,427.58,2,1,2,212,Others
247,12808.0,127,3,483.65000000000003,2,3,3,233,Others
248,12816.0,216,1,253.55,2,1,2,212,Others
249,12817.0,283,1,166.04000000000002,1,1,1,111,Others
250,12820.0,182,1,210.35,2,1,1,211,Others
251,12821.0,97,1,92.72,3,1,1,311,Others
252,12823.0,246,1,229.5,1,1,1,111,Others
253,12824.0,31,1,397.12,4,1,2,412,Others
254,12826.0,61,3,577.1,3,3,3,333,Others
255,12827.0,153,2,212.4,2,3,1,231,Others
256,12828.0,152,5,907.51,2,4,3,243,Others
257,12829.0,163,1,207.25,2,1,1,211,Others
258,12830.0,93,3,2258.56,3,3,4,334,Others
259,12832.0,153,2,383.03000000000003,2,3,2,232,Others
260,12834.0,311,1,312.38,1,1,2,112,Others
261,12836.0,31,3,2161.73,4,3,4,434,Others
262,12838.0,183,2,683.13,2,3,3,233,Others
263,12839.0,96,5,2203.66,3,4,4,344,Others
264,12840.0,66,2,1296.7,3,3,4,334,Others
265,12841.0,5,13,2167.8,4,4,4,444,Loyal Champion
266,12842.0,253,1,310.73,1,1,2,112,Others
267,12843.0,67,5,1282.3600000000001,3,4,4,344,Others
268,12844.0,61,2,325.96000000000004,3,3,2,332,Others
269,12849.0,122,1,346.39,3,1,2,312,Others
270,12851.0,246,1,135.18,1,1,1,111,Others
271,12854.0,7,1,420.46999999999997,4,1,2,412,Others
272,12855.0,667,1,38.1,1,1,1,111,Others
273,12856.0,30,3,870.96,4,3,3,433,Others
274,12857.0,70,1,801.6,3,1,3,313,Others
275,12865.0,125,1,981.38,3,1,3,313,Others
276,12866.0,342,1,559.12,1,1,3,113,Others
277,12867.0,97,2,1124.54,3,3,4,334,Others
278,12868.0,10,4,1176.3400000000001,4,4,4,444,Loyal Champion
279,12872.0,455,1,378.53000000000003,1,1,2,112,Others
280,12873.0,311,1,374.0,1,1,2,112,Others
281,12875.0,364,1,293.76000000000005,1,1,2,112,Others
282,12877.0,156,4,376.56,2,4,2,242,Others
283,12879.0,93,1,140.5,3,1,1,311,Others
284,12881.0,99,1,298.0,3,1,2,312,Others
285,12882.0,183,1,471.84000000000003,2,1,3,213,Others
286,12883.0,32,1,291.63,4,1,2,412,Others
287,12884.0,2,1,309.05,4,1,2,412,Others
288,12885.0,125,3,1175.22,3,3,4,334,Others
289,12886.0,250,2,1378.4,1,3,4,134,Others
290,12888.0,97,1,81.36,3,1,1,311,Others
291,12891.0,158,2,289.0,2,3,2,232,Others
292,12893.0,91,1,188.14,3,1,1,311,Others
293,12897.0,39,1,128.8,4,1,1,411,Others
294,12901.0,36,6,1621.92,4,4,4,444,Loyal Champion
